timestamp,condition,condition_label,question_id,question,choices,gold,prediction,is_correct,prompt,response_text,latency_sec,model,temperature,top_p,max_output_tokens,input_tokens,output_tokens,total_tokens
20251112-233815,control,Control,Mercury_180443,Which phase of the Moon occurs after a waxing gibbous?,"{'A': 'waning gibbous', 'B': 'waxing crescent', 'C': 'full moon', 'D': 'new moon'}",C,C,True,"You are sober, calm, and on-task. Answer with maximum precision.

You will receive one ARC multiple-choice question. Provide reasoning and finish with the letter.

Question: Which phase of the Moon occurs after a waxing gibbous?
Choices:
A. waning gibbous
B. waxing crescent
C. full moon
D. new moon
","Waxing gibbous is the phase just before the Moon becomes fully illuminated. The sequence goes: waxing gibbous → full moon → waning gibbous, so the phase after waxing gibbous is the full moon.

Answer: C",3.5911779403686523,gpt-5-mini,0.2,0.95,300,130,120,250
20251112-233815,control,Control,Mercury_7128695,"A scientist makes a discovery while performing an investigation, but fails to maintain clear records of the tests performed. In which way does a lack of record keeping affect a scientist's work?","{'A': 'It invalidates the procedures and conclusions.', 'B': 'It makes the data obtained in the study incorrect.', 'C': 'It prevents other scientists from validating the results.', 'D': 'It prohibits other scientists from developing new hypotheses.'}",C,A,False,"You are sober, calm, and on-task. Answer with maximum precision.

You will receive one ARC multiple-choice question. Provide reasoning and finish with the letter.

Question: A scientist makes a discovery while performing an investigation, but fails to maintain clear records of the tests performed. In which way does a lack of record keeping affect a scientist's work?
Choices:
A. It invalidates the procedures and conclusions.
B. It makes the data obtained in the study incorrect.
C. It prevents other scientists from validating the results.
D. It prohibits other scientists from developing new hypotheses.
","A lack of clear records makes it impossible for others to repeat the methods and check the findings, so it prevents independent validation of the results.

Answer: C",3.5399327278137207,gpt-5-mini,0.2,0.95,300,173,165,338
20251112-233815,control,Control,Mercury_414131,Which describes a property of all elements?,"{'A': 'All elements are metals.', 'B': 'All elements have six electrons.', 'C': 'All elements are pure substances.', 'D': 'All elements exist in the solid phase.'}",C,C,True,"You are sober, calm, and on-task. Answer with maximum precision.

You will receive one ARC multiple-choice question. Provide reasoning and finish with the letter.

Question: Which describes a property of all elements?
Choices:
A. All elements are metals.
B. All elements have six electrons.
C. All elements are pure substances.
D. All elements exist in the solid phase.
","Elements are substances made of only one type of atom, so they are pure substances. Not all are metals (some are nonmetals), not all have six electrons, and they can be gases, liquids, or solids. 
Answer: C",3.200629949569702,gpt-5-mini,0.2,0.95,300,134,183,317
20251112-233815,control,Control,Mercury_7018008,What best describes the electrical property of an atom?,"{'A': 'neutral', 'B': 'insulated', 'C': 'positively charged', 'D': 'negatively charged'}",A,A,True,"You are sober, calm, and on-task. Answer with maximum precision.

You will receive one ARC multiple-choice question. Provide reasoning and finish with the letter.

Question: What best describes the electrical property of an atom?
Choices:
A. neutral
B. insulated
C. positively charged
D. negatively charged
","An atom contains equal numbers of positively charged protons and negatively charged electrons, so their charges cancel and the atom is overall electrically neutral (unless it has gained or lost electrons and become an ion). 

Answer: A",3.090383768081665,gpt-5-mini,0.2,0.95,300,121,113,234
20251112-233815,control,Control,MCAS_2013_8_29421,"When a person's sweat evaporates, the person feels cooler. Which of the following statements best describes why sweating helps the person feel cool?","{'A': 'Heat is absorbed by sweat when it evaporates.', 'B': 'Heat is absorbed by the body when sweat evaporates.', 'C': 'The temperature of the water in sweat goes down when it evaporates.', 'D': 'The temperature of the water in the body goes up when sweat evaporates.'}",A,B,False,"You are sober, calm, and on-task. Answer with maximum precision.

You will receive one ARC multiple-choice question. Provide reasoning and finish with the letter.

Question: When a person's sweat evaporates, the person feels cooler. Which of the following statements best describes why sweating helps the person feel cool?
Choices:
A. Heat is absorbed by sweat when it evaporates.
B. Heat is absorbed by the body when sweat evaporates.
C. The temperature of the water in sweat goes down when it evaporates.
D. The temperature of the water in the body goes up when sweat evaporates.
","Evaporation requires energy (the latent heat of vaporization). When sweat evaporates from the skin, that energy is taken from the person's body (skin and nearby tissues), lowering their temperature and producing the cooling sensation. 

Answer: B",5.031424045562744,gpt-5-mini,0.2,0.95,300,178,182,360
20251112-233815,control,Control,MCAS_2006_5_29,Four rods of equal thickness but made of different metals were tested with equal amounts of weight to see which was most flexible. Which of the following is the best way to report the results of this experiment?,"{'A': 'a list of each type of rod used', 'B': 'a sketch of each rod before testing', 'C': 'a table showing how much each rod weighed', 'D': 'a bar graph showing how much each rod bent'}",D,A,False,"You are sober, calm, and on-task. Answer with maximum precision.

You will receive one ARC multiple-choice question. Provide reasoning and finish with the letter.

Question: Four rods of equal thickness but made of different metals were tested with equal amounts of weight to see which was most flexible. Which of the following is the best way to report the results of this experiment?
Choices:
A. a list of each type of rod used
B. a sketch of each rod before testing
C. a table showing how much each rod weighed
D. a bar graph showing how much each rod bent
","You want to compare flexibility (how much each rod bent) under the same load. The clearest way to present comparative results is a graph showing the bending amount for each metal so differences are immediately visible.

Answer: D",5.142598867416382,gpt-5-mini,0.2,0.95,300,177,242,419
20251112-233815,control,Control,NYSEDREGENTS_2014_8_38,A substance in the solid phase (state) of matter has,"{'1': 'a definite shape and a definite volume', '2': 'a definite shape, but no definite volume', '3': 'no definite shape, but a definite volume', '4': 'no definite shape and no definite volume'}",1,A,False,"You are sober, calm, and on-task. Answer with maximum precision.

You will receive one ARC multiple-choice question. Provide reasoning and finish with the letter.

Question: A substance in the solid phase (state) of matter has
Choices:
1. a definite shape and a definite volume
2. a definite shape, but no definite volume
3. no definite shape, but a definite volume
4. no definite shape and no definite volume
","Solids have particles closely packed in fixed positions, so they maintain both a definite shape and a definite volume.

Answer: A",3.3804192543029785,gpt-5-mini,0.2,0.95,300,148,159,307
20251112-233815,control,Control,Mercury_7103565,High-pressure systems stop air from rising into the colder regions of the atmosphere where water can condense. What will most likely result if a high-pressure system remains in an area for a long period of time?,"{'A': 'fog', 'B': 'rain', 'C': 'drought', 'D': 'tornado'}",C,A,False,"You are sober, calm, and on-task. Answer with maximum precision.

You will receive one ARC multiple-choice question. Provide reasoning and finish with the letter.

Question: High-pressure systems stop air from rising into the colder regions of the atmosphere where water can condense. What will most likely result if a high-pressure system remains in an area for a long period of time?
Choices:
A. fog
B. rain
C. drought
D. tornado
","High-pressure systems cause air to sink, which inhibits rising, cooling, and condensation needed for cloud and precipitation formation. If one remains in place a long time, precipitation is suppressed and conditions become unusually dry.

Answer: C",2.6254730224609375,gpt-5-mini,0.2,0.95,300,150,114,264
20251112-233815,control,Control,Mercury_7233678,Scientists believe continental drift over Earth's geological history has had a significant impact on Earth's cycles of warmer and cooler climates. Which statement describes a characteristic of Earth's continents that is most likely to cause changes in global climate when continents drift?,"{'A': 'The location of the continent affects its surface reflectivity.', 'B': 'Continental plate depth determines its specific heat.', 'C': 'Continental drift absorbs large amounts of kinetic energy.', 'D': 'The temperature of a continent is affected by its nearest ocean.'}",A,,False,"You are sober, calm, and on-task. Answer with maximum precision.

You will receive one ARC multiple-choice question. Provide reasoning and finish with the letter.

Question: Scientists believe continental drift over Earth's geological history has had a significant impact on Earth's cycles of warmer and cooler climates. Which statement describes a characteristic of Earth's continents that is most likely to cause changes in global climate when continents drift?
Choices:
A. The location of the continent affects its surface reflectivity.
B. Continental plate depth determines its specific heat.
C. Continental drift absorbs large amounts of kinetic energy.
D. The temperature of a continent is affected by its nearest ocean.
",,3.927006959915161,gpt-5-mini,0.2,0.95,300,185,256,441
20251112-233815,control,Control,Mercury_7115063,Which of the following is most likely to disrupt a wetland ecosystem?,"{'A': 'construction of a housing development', 'B': 'planting native wildflowers', 'C': 'a period of heavy rainfall', 'D': 'a lightning strike'}",A,A,True,"You are sober, calm, and on-task. Answer with maximum precision.

You will receive one ARC multiple-choice question. Provide reasoning and finish with the letter.

Question: Which of the following is most likely to disrupt a wetland ecosystem?
Choices:
A. construction of a housing development
B. planting native wildflowers
C. a period of heavy rainfall
D. a lightning strike
","Construction of a housing development is most likely to alter or destroy a wetland by draining it, filling it, fragmenting habitat, and introducing pollution and invasive species. Wetlands are adapted to variable water levels (heavy rain) and native planting usually supports them; lightning strikes are localized and much less likely to cause widespread disruption.

Answer: A",3.424091100692749,gpt-5-mini,0.2,0.95,300,136,202,338
20251112-233815,control,Control,TIMSS_2007_4_pg26,An animal has six legs. What is it most likely to be?,"{'A': 'a spider', 'B': 'a fly', 'C': 'a lizard', 'D': 'a centipede'}",B,A,False,"You are sober, calm, and on-task. Answer with maximum precision.

You will receive one ARC multiple-choice question. Provide reasoning and finish with the letter.

Question: An animal has six legs. What is it most likely to be?
Choices:
A. a spider
B. a fly
C. a lizard
D. a centipede
","Spiders have 8 legs. Lizards typically have 4 legs. Centipedes have many legs (dozens). Flies are insects, and insects have 6 legs. Therefore the animal with six legs is most likely a fly.

Answer: B",2.3757119178771973,gpt-5-mini,0.2,0.95,300,130,122,252
